Region of Incident,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Location Coordinates,Migration Route
Mediterranean,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"36.184741288501, -5.915458663672",Western Mediterranean
Mediterranean,2019,Jan,6.0,Unknown,6,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"31.208814747402, 16.594403365833",Central Mediterranean
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.276924900000, -112.859884600000",Central America to US
Mediterranean,2018,Dec,Unknown,7.0,7,1.0,Unknown,Unknown,Unknown,Drowning,Libya,"34.869024451220, 34.492835772639",Eastern Mediterranean
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"California, USA","32.541882023698, -117.133734140230",Central America to US
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,Mexico,"27.028916988435, -98.070345308930",Unknown
Europe,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Italy,"43.609902506139, 13.456590016544",Unknown
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,"Texas, USA","28.759006919815, -100.519348400100",Central America to US
Mediterranean,2018,Dec,4.0,Unknown,4,56.0,Unknown,Unknown,Unknown,Drowning,Morocco,"35.481680686032, -3.342110714760",Western Mediterranean
Mediterranean,2018,Dec,Unknown,12.0,12,Unknown,1.0,11.0,Unknown,Drowning,Morocco,"35.940386653024, -5.940460712849",Western Mediterranean
Middle East,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Syria,"35.963071341506, 36.294640216232",Unknown
Mediterranean,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"35.914961693807, -5.380634704776",Western Mediterranean
Middle East,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Syria,"36.010976380608, 36.291893634201",Unknown
Mediterranean,2018,Dec,12.0,12.0,24,31.0,2.0,10.0,Unknown,Drowning,Spain,"36.385858171134, -2.625576919231",Western Mediterranean
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","28.655830400381, -100.480611280930",Central America to US
Mediterranean,2018,Dec,1.0,Unknown,1,56.0,Unknown,Unknown,Unknown,Unknown,Spain,"35.862101496706, -3.230474337214",Western Mediterranean
Mediterranean,2018,Dec,8.0,12.0,20,9.0,3.0,1.0,2.0,Drowning,Algeria,"36.656665744128, 1.229045427169",Western Mediterranean
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.785528500000, -111.466392500000",Central America to US
Europe,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Serbia,"45.121869068460, 19.213236824545",Unknown
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Drowning,Mexico,"28.702360352070, -100.511538546900",Central America to US
Mediterranean,2018,Dec,1.0,Unknown,1,58.0,Unknown,1.0,Unknown,Drowning,Spain,"36.174642255222, -3.809567348437",Western Mediterranean
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,"Texas, USA","31.897189083031, -106.439103643990",Central America to US
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","32.402664900000, -111.427588800000",Central America to US
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.589492200000, -111.363378900000",Central America to US
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.331803200000, -112.524509300000",Central America to US
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,"Arizona, USA","31.814869000000, -111.822328500000",Central America to US
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Central America to US
Caribbean,2018,Dec,2.0,4.0,6,5.0,1.0,Unknown,Unknown,Drowning,Puerto Rico,"19.112562500000, -69.313437500000",Unknown
US-Mexico Border,2018,Dec,2.0,Unknown,2,1.0,Unknown,2.0,2.0,Murdered,Mexico,"32.538296700000, -117.014062400000",Central America to US
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","29.827611906085, -102.592432413280",Unknown
Europe,2018,Dec,3.0,Unknown,3,Unknown,Unknown,3.0,Unknown,Accident,Greece,"40.989655000000, 24.630244000000",Unknown
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.630474000000, -99.625893000000",Central America to US
Mediterranean,2018,Dec,2.0,Unknown,2,49.0,Unknown,Unknown,Unknown,Drowning,Spain,"35.555360000000, -3.233348000000",Western Mediterranean
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Central America to US
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"California, USA","32.665484522394, -115.502037019710",Central America to US
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","26.182455064507, -98.379822163351",Unknown
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.629882000000, -99.626826000000",Central America to US
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Mexico,"28.337657000000, -100.308865000000",Central America to US
Central America,2018,Dec,1.0,Unknown,1,3.0,1.0,Unknown,Unknown,Murdered,Mexico,"17.997026000000, -95.385768000000",Unknown
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Sickness and lack of access to medicines,Mexico,"31.770748000000, -106.499407000000",Central America to US
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,"Texas, USA","27.427587000000, -99.491763000000",Central America to US
Mediterranean,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"35.948083000000, -5.277967000000",Western Mediterranean
Middle East,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,Turkey,"41.090092000000, 26.347378000000",Unknown
