Region of Incident,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Location Coordinates,Migration Route
US-Mexico Border,2018,Dec,1.0,Unknown,1,2.0,Unknown,1.0,Unknown,Drowning,"California, USA","32.659213618060, -115.577444479100",Central America to US
Mediterranean,2018,Dec,12.0,3.0,15,10.0,Unknown,Unknown,Unknown,Drowning,Libya,"32.835794000000, 15.372368000000",Central Mediterranean
Mediterranean,2018,Dec,3.0,3.0,6,5.0,Unknown,2.0,Unknown,Drowning,Algeria,"36.993449000000, 4.395623000000",Western Mediterranean
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,"Texas, USA","26.160750000000, -98.349042000000",Central America to US
Middle East,2018,Dec,3.0,Unknown,3,1.0,Unknown,2.0,Unknown,Weather conditions,Greece,"41.306959000000, 26.519596000000",Unknown
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.150512000000, -98.338580000000",Central America to US
Mediterranean,2018,Dec,2.0,Unknown,2,32.0,Unknown,2.0,Unknown,Drowning,Algeria,"36.206410000000, -0.440445000000",Western Mediterranean
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,"Texas, USA","25.886732000000, -97.518249000000",Central America to US
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.122955000000, -98.093600000000",Central America to US
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.916318900000, -112.935779900000",Central America to US
US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,"Texas, USA","29.608160591764, -102.883570108590",Unknown
Europe,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,Serbia,"45.081655670171, 19.196530946899",Unknown
US-Mexico Border,2018,Nov,1.0,Unknown,1,1.0,Unknown,1.0,Unknown,Accident,Mexico,"32.534377000000, -117.066199000000",Central America to US
Mediterranean,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Algeria,"37.595408000000, 7.867908000000",Central Mediterranean
Mediterranean,2018,Nov,1.0,Unknown,1,56.0,1.0,Unknown,Unknown,Unknown,Spain,"35.944056000000, -4.296153000000",Western Mediterranean
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.499653000000, -99.505310000000",Central America to US
US-Mexico Border,2018,Nov,3.0,Unknown,3,8.0,Unknown,Unknown,Unknown,Accident,Mexico,"32.662275000000, -116.223979000000",Central America to US
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Mexico,"27.778512000000, -98.724081000000",Central America to US
US-Mexico Border,2018,Nov,2.0,Unknown,2,Unknown,1.0,1.0,Unknown,Accident,"California, USA","32.705055619243, -116.357761744710",Central America to US
Europe,2018,Nov,1.0,Unknown,1,8.0,Unknown,Unknown,Unknown,Accident,Greece,"40.954982000000, 24.386152000000",Unknown
Mediterranean,2018,Nov,3.0,Unknown,3,90.0,Unknown,Unknown,Unknown,Drowning,Spain,"36.150154000000, -3.405538000000",Western Mediterranean
Central America,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"29.097150000000, -110.919818000000",Unknown
Europe,2018,Nov,4.0,Unknown,4,Unknown,Unknown,4.0,Unknown,Accident,Greece,"41.051762000000, 25.475700000000",Unknown
Central America,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Sickness and lack of access to medicines,Mexico,"28.267376000000, -105.477996000000",Unknown
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"28.756048379149, -100.530605432730",Central America to US
Mediterranean,2018,Nov,Unknown,1.0,1,13.0,Unknown,Unknown,Unknown,Drowning,Spain,"35.943355978115, -2.447945545313",Western Mediterranean
Mediterranean,2018,Nov,20.0,9.0,29,39.0,2.0,27.0,Unknown,Drowning,Morocco,"35.332202000000, -2.746510000000",Western Mediterranean
Middle East,2018,Nov,1.0,Unknown,1,26.0,Unknown,1.0,1.0,Accident,Turkey,"36.837397656734, 31.765854155410",Unknown
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"32.525530100000, -117.009588600000",Central America to US
Mediterranean,2018,Nov,1.0,13.0,14,42.0,1.0,Unknown,Unknown,Drowning,Spain,"36.125482848253, -3.019234607813",Western Mediterranean
Mediterranean,2018,Nov,1.0,6.0,7,11.0,Unknown,7.0,Unknown,Drowning,Algeria,"37.101562000000, 7.867572000000",Central Mediterranean
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Mexico,"32.604487000000, -115.379027000000",Central America to US
US-Mexico Border,2018,Nov,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.088454736067, -98.224044482031",Central America to US
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Sickness and lack of access to medicines,Mexico,"32.525530100000, -117.009588600000",Central America to US
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Accident,Mexico,"32.511197835073, -116.080225617040",Central America to US
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"California, USA","32.673095138309, -115.391251701330",Central America to US
Mediterranean,2018,Nov,1.0,Unknown,1,10.0,Unknown,1.0,Unknown,Drowning,Turkey,"36.957355521278, 27.406164084473",Eastern Mediterranean
Mediterranean,2018,Nov,2.0,7.0,9,1.0,1.0,8.0,Unknown,Drowning,Spain,"36.207723272813, -6.263366759375",Western Mediterranean
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.330210520667, -98.630746182528",Central America to US
North Africa,2018,Nov,Unknown,22.0,22,3.0,Unknown,1.0,1.0,Drowning,Morocco,"29.822677770283, -10.210486774219",Western African
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","26.955081229481, -97.828384703299",Unknown
Sub-Saharan Africa,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Niger,"13.511667000000, 2.125278000000",Unknown
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"25.888653822568, -97.523186761530",Central America to US
Central America,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,Mexico,"19.025215788750, -96.317462928047",Unknown
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","26.097296000000, -98.261871000000",Unknown
Mediterranean,2018,Nov,4.0,6.0,10,3.0,Unknown,2.0,Unknown,Drowning,Italy,"38.844062326256, 8.408826454492",Central Mediterranean
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","27.381818793300, -99.448285378522",Central America to US
Europe,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Serbia,"44.765773000000, 20.467632000000",Western Balkans
Horn of Africa,2018,Nov,5.0,Unknown,5,Unknown,2.0,1.0,1.0,Murdered,Ethiopia,"8.271988000000, 34.587575000000",Unknown
US-Mexico Border,2018,Nov,1.0,Unknown,1,1.0,1.0,Unknown,Unknown,Unknown,"Texas, USA","27.194011764208, -98.274634046484",Central America to US
Mediterranean,2018,Nov,6.0,4.0,10,5.0,4.0,5.0,6.0,Drowning,"Lesvos, Greece","39.076232633511, 26.729897242187",Eastern Mediterranean
South Asia,2018,Nov,2.0,Unknown,2,5.0,Unknown,2.0,Unknown,Murdered,Iran,"27.149020794829, 63.291549697656",Unknown
Europe,2018,Nov,1.0,Unknown,1,9.0,1.0,Unknown,Unknown,Accident,Greece,"40.706812500000, 23.191562500000",Western Balkans
Europe,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Serbia,"44.522738789151, 19.151800033374",Western Balkans
Sub-Saharan Africa,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Mali,"12.639167000000, -8.002778000000",Unknown
Sub-Saharan Africa,2018,Nov,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Niger,"16.967643000000, 7.985137000000",Unknown
Europe,2018,Nov,1.0,Unknown,1,27.0,Unknown,1.0,1.0,Accident,Greece,"40.739954570559, 23.016855162231",Western Balkans
Mediterranean,2018,Nov,2.0,Unknown,2,13.0,Unknown,2.0,1.0,Unknown,Spain,"36.709463477802, -4.221767056592",Western Mediterranean
Mediterranean,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"35.896543454211, -5.300197427261",Western Mediterranean
Mediterranean,2018,Nov,Unknown,1.0,1,40.0,Unknown,1.0,Unknown,Drowning,Italy,"35.203978684726, 12.812646562500",Central Mediterranean
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","27.031213823663, -97.970171350586",Central America to US
Mediterranean,2018,Nov,Unknown,5.0,5,Unknown,1.0,4.0,Unknown,Drowning,Algeria,"37.596845000000, 7.868337000000",Central Mediterranean
Middle East,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Syria,"36.829138418553, 37.987020277664",Unknown
Sub-Saharan Africa,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mali,"11.316667000000, -5.666667000000",Unknown
Sub-Saharan Africa,2018,Nov,3.0,Unknown,3,Unknown,1.0,1.0,1.0,Accident,Mali,"11.316667000000, -5.666667000000",Unknown
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"28.330220711783, -100.301303382470",Central America to US
Central America,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"19.911531499716, -99.363792495337",Unknown
Middle East,2018,Nov,5.0,Unknown,5,16.0,Unknown,Unknown,Unknown,Accident,Turkey,"38.645007505791, 44.204894246094",Unknown
Sub-Saharan Africa,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Mali,"11.316667000000, -5.666667000000",Unknown
Mediterranean,2018,Nov,23.0,Unknown,23,22.0,Unknown,9.0,Unknown,Drowning,Spain,"36.146208377123, -6.010210826953",Western Mediterranean
Mediterranean,2018,Nov,13.0,18.0,31,80.0,Unknown,13.0,Unknown,Drowning,Spain,"35.537958511526, -2.934664072461",Western Mediterranean
Europe,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Greece,"39.488630000000, 20.280311000000",Unknown
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.967683100000, -113.013308300000",Central America to US
Sub-Saharan Africa,2018,Nov,2.0,Unknown,2,Unknown,1.0,1.0,1.0,Accident,Mali,"10.487500000000, -5.653611000000",Unknown
Sub-Saharan Africa,2018,Nov,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Burkina Faso,"12.050000000000, 0.366667000000",Unknown
Sub-Saharan Africa,2018,Nov,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Accident,Burkina Faso,"12.190000000000, 1.390000000000",Unknown
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","28.507101348765, -100.318219816460",Central America to US
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.674569600000, -110.922837800000",Central America to US
Sub-Saharan Africa,2018,Nov,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Burkina Faso,"11.183333000000, -4.283333000000",Unknown
Central America,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Dehydration,Guatemala,"14.960978200000, -91.807458600000",Unknown
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"25.881211791344, -97.479659873636",Central America to US
US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.812760500000, -109.728415100000",Central America to US
Middle East,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Syria,"35.996902662085, 36.359899433160",Unknown
Sub-Saharan Africa,2018,Nov,2.0,Unknown,2,Unknown,2.0,Unknown,Unknown,Sickness and lack of access to medicines,Burkina Faso,"12.050000000000, 0.366667000000",Unknown
Sub-Saharan Africa,2018,Nov,2.0,Unknown,2,Unknown,2.0,Unknown,Unknown,Sickness and lack of access to medicines,Burkina Faso,"12.050000000000, 0.366667000000",Unknown
Europe,2018,Nov,Unknown,1.0,1,Unknown,Unknown,1.0,Unknown,Drowning,Serbia,"44.522662295480, 19.152572509570",Unknown
Sub-Saharan Africa,2018,Nov,7.0,Unknown,7,Unknown,1.0,1.0,Unknown,Accident,Burkina Faso,"11.183333000000, -4.283333000000",Unknown
Central America,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"17.596983200000, -92.826550300000",Unknown
Horn of Africa,2018,Oct,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Murdered,Somalia,"8.734584000000, 44.788894000000",Unknown
North Africa,2018,Oct,3.0,Unknown,3,Unknown,3.0,Unknown,Unknown,Murdered,"Sahara desert, Sudan","22.396611000000, 26.693147000000",Unknown
US-Mexico Border,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Cardiac arrest,"Texas, USA","26.408852300000, -99.015655400000",Central America to US
Mediterranean,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Morocco,"35.157968537571, -2.905610943750",Western Mediterranean
North Africa,2018,Oct,2.0,Unknown,2,Unknown,2.0,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","19.635357000000, 27.103538000000",Unknown
North Africa,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,Libya,"26.910418000000, 14.509939000000",Unknown
Central America,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Mexico,"14.676584275856, -92.147321116516",Unknown
Horn of Africa,2018,Oct,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Murdered,Ethiopia,"9.322813000000, 42.787821000000",Unknown
Sub-Saharan Africa,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Burkina Faso,"12.250000000000, -0.616667000000",Unknown
Mediterranean,2018,Oct,1.0,Unknown,1,54.0,Unknown,Unknown,Unknown,Drowning,Spain,"35.818965090848, -4.128170864062",Western Mediterranean
Mediterranean,2018,Oct,1.0,Unknown,1,12.0,1.0,Unknown,Unknown,Unknown,Turkey,"36.951540206154, 27.239748161133",Eastern Mediterranean
Mediterranean,2018,Oct,Unknown,54.0,54,Unknown,11.0,Unknown,3.0,Drowning,Morocco,"35.783607000000, -3.071865000000",Western Mediterranean
Horn of Africa,2018,Oct,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Murdered,"Sahara desert, Sudan","12.953846000000, 36.152215000000",Unknown
Horn of Africa,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Somalia,"9.511606000000, 44.059039000000",Unknown
North Africa,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,"Sahara desert, Libya","21.143170000000, 23.823002000000",Unknown
Mediterranean,2018,Oct,1.0,13.0,14,2.0,Unknown,1.0,Unknown,Drowning,Morocco,"35.442087951783, -3.127679063281",Western Mediterranean
North Africa,2018,Oct,2.0,Unknown,2,Unknown,2.0,Unknown,Unknown,Murdered,"Sahara desert, Sudan","18.074280000000, 34.434549000000",Unknown
Mediterranean,2018,Oct,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Drowning,Morocco,"35.357502053477, -3.798174029297",Western Mediterranean
Middle East,2018,Oct,6.0,Unknown,6,Unknown,Unknown,6.0,Unknown,Drowning,Syria,"35.858384350643, 36.116948497315",Unknown
Europe,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Greece,"40.880611200000, 26.045885000000",Unknown
Europe,2018,Oct,1.0,2.0,3,Unknown,1.0,Unknown,2.0,Drowning,Greece,"41.507704846227, 26.598028237012",Unknown
South America,2018,Oct,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Cardiac arrest,Colombia,"5.540402403214, -73.361254635582",Unknown
US-Mexico Border,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.488233400000, -111.542807100000",Central America to US
North Africa,2018,Oct,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Sickness and lack of access to medicines,"Sahara desert, Sudan","12.953846000000, 36.152215000000",Unknown
Sub-Saharan Africa,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Burkina Faso,"12.357222000000, -1.535278000000",Unknown
US-Mexico Border,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Central America to US
North Africa,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","20.610678000000, 27.916851000000",Unknown
Mediterranean,2018,Oct,3.0,Unknown,3,31.0,1.0,Unknown,3.0,Drowning,Turkey,"37.013780762096, 27.441440497437",Eastern Mediterranean
Central America,2018,Oct,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Accident,Mexico,"15.110817101047, -92.430899979102",Unknown
US-Mexico Border,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","27.285937858565, -99.401121846289",Central America to US
Horn of Africa,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Somalia,"9.020952000000, 46.451457000000",Unknown
Mediterranean,2018,Oct,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Cardiac arrest,Spain,"35.317074762986, -2.958625089834",Western Mediterranean
Central America,2018,Oct,6.0,Unknown,6,Unknown,1.0,5.0,3.0,Accident,Mexico,"16.661687669465, -92.558634566602",Unknown
US-Mexico Border,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","28.505441998889, -100.324571287400",Central America to US
North Africa,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Sickness and lack of access to medicines,"Sahara desert, Sudan","18.074280000000, 34.434549000000",Unknown
Central America,2018,Oct,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Accident,Guatemala,"14.449858800000, -90.642999900000",Unknown
Mediterranean,2018,Oct,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Drowning,Morocco,"35.288086655038, -3.114351178125",Western Mediterranean
US-Mexico Border,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","27.224544909800, -98.302099866797",Central America to US
US-Mexico Border,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Central America to US
Sub-Saharan Africa,2018,Oct,2.0,Unknown,2,Unknown,1.0,1.0,Unknown,Sickness and lack of access to medicines,Mali,"12.054854000000, -8.998136000000",Unknown
US-Mexico Border,2018,Oct,1.0,Unknown,1,1.0,Unknown,1.0,Unknown,Drowning,Mexico,"32.621507588195, -114.810131103780",Central America to US
US-Mexico Border,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.967683100000, -113.013308300000",Central America to US
US-Mexico Border,2018,Oct,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.969853700000, -111.427588800000",Central America to US
US-Mexico Border,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","32.057701900000, -112.143021500000",Central America to US
Mediterranean,2018,Oct,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Drowning,Algeria,"35.756883552199, -0.755644093457",Western Mediterranean
Mediterranean,2018,Oct,1.0,Unknown,1,38.0,Unknown,1.0,Unknown,Weather conditions,Morocco,"35.846340387609, -5.913605178906",Western Mediterranean
Central America,2018,Oct,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Accident,Mexico,"20.614104849530, -100.822961473630",Unknown
North Africa,2018,Oct,2.0,Unknown,2,Unknown,2.0,Unknown,Unknown,Murdered,"Sahara desert, Sudan","18.074280000000, 34.434549000000",Unknown
North Africa,2018,Oct,2.0,Unknown,2,Unknown,1.0,1.0,2.0,Sickness and lack of access to medicines,"Sahara desert, Sudan","19.635357000000, 27.103538000000",Unknown
Sub-Saharan Africa,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Accident,Niger,"13.805278000000, 8.988333000000",Unknown
US-Mexico Border,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.500016908291, -99.501840408371",Central America to US
Middle East,2018,Oct,22.0,Unknown,22,13.0,1.0,Unknown,4.0,Accident,Turkey,"38.277054882761, 27.182584225098",Unknown
Mediterranean,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Algeria,"35.973656616085, -0.352090264063",Western Mediterranean
Sub-Saharan Africa,2018,Oct,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Mali,"16.775833000000, -3.009444000000",Unknown
Europe,2018,Oct,11.0,Unknown,11,Unknown,Unknown,Unknown,Unknown,Accident,Greece,"40.946035470324, 24.432263735596",Western Balkans
US-Mexico Border,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.499961707713, -99.503442093950",Central America to US
US-Mexico Border,2018,Oct,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.027305700000, -98.221297900000",Central America to US
Horn of Africa,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Ethiopia,"4.884933000000, 38.116099000000",Unknown
Horn of Africa,2018,Oct,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Somalia,"6.770377000000, 47.417650000000",Unknown
Mediterranean,2018,Oct,3.0,17.0,20,35.0,Unknown,Unknown,Unknown,Drowning,Spain,"36.125482848253, -3.063179920313",Western Mediterranean
Mediterranean,2018,Oct,2.0,Unknown,2,Unknown,1.0,Unknown,1.0,Drowning,Algeria,"35.824565299138, -0.803768973047",Western Mediterranean
Mediterranean,2018,Oct,2.0,2.0,4,13.0,Unknown,1.0,Unknown,Drowning,Algeria,"35.968663407358, -0.020727710156",Western Mediterranean
Mediterranean,2018,Oct,Unknown,2.0,2,9.0,Unknown,Unknown,Unknown,Drowning,Morocco,"35.870826490690, -5.847687210156",Western Mediterranean
Mediterranean,2018,Oct,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Algeria,"35.812872875659, -0.806515555078",Western Mediterranean
